---------------------------  data, labels -------------------------
['1783' '2050' '265' '1907']1
['386' '140' '322' '831']1
['1214' '2299' '265' '767']1
['336' '239' '139' '526']1
['1310' '1076' '265' '1281']1
['1023' '1503' '16' '948']1
['1162' '1359' '280' '858']1
['1959' '1718' '1192' '1703']1
['322' '592' '106' '1702']1
['1400' '909' '265' '551']1
['1929' '2382' '134' '482']1
['444' '358' '273' '946']1
['1784' '261' '273' '1229']1
['1122' '1882' '146' '1702']1
['1716' '2072' '147' '1037']1
['1823' '1428' '1610' '1326']1
['1784' '2379' '139' '691']1
['287' '1588' '502' '213']1
['681' '1489' '502' '52']1
['1090' '376' '271' '1864']1
['344' '1677' '1056' '1068']1
['1784' '2379' '11' '1702']1
['1331' '1940' '268' '192']1
['435' '1854' '105' '202']1
['287' '1222' '3' '1702']1
['1047' '2122' '139' '1178']1
['1860' '1705' '322' '1139']1
['1784' '2209' '267' '139']1
['1784' '1344' '1610' '804']1
['1008' '880' '280' '858']1
['369' '1615' '220' '903']1
['386' '219' '906' '1143']1
['1310' '1212' '129' '1336']1
['1122' '1882' '146' '1702']1
['124' '507' '139' '159']1
['1784' '967' '257' '1370']1
['1310' '1953' '147' '946']1
['722' '248' '16' '213']1
['1008' '2293' '116' '1068']1
['1280' '287' '264' '1917']1
['1784' '967' '257' '1370']1
['1584' '1948' '139' '1447']1
['1331' '1940' '268' '192']1
['1716' '2072' '147' '1037']1
['1801' '1770' '265' '1272']1
['1356' '1027' '502' '1758']1
['1278' '1625' '129' '1473']1
['153' '26' '322' '1654']1
['1331' '1940' '268' '192']1
['1452' '1123' '322' '831']1
['1764' '1669' '186' '1149']1
['336' '239' '139' '526']1
['1357' '1609' '1801' '446']1
['1784' '489' '139' '543']1
['1310' '284' '1' '1056']1
['1764' '1669' '186' '1149']1
['1994' '1091' '299' '1889']1
['1882' '837' '39' '1701']1
['322' '592' '265' '1281']1
['983' '1315' '129' '1513']1
['1819' '2131' '183' '1868']1
['1996' '1555' '1396' '97']1
['1047' '1781' '988' '97']1
['1138' '2129' '268' '1864']1
['1122' '1882' '146' '1702']1
['1408' '73' '129' '809']1
['1008' '565' '271' '1464']1
['159' '83' '299' '971']1
['681' '1489' '502' '52']1
['386' '1502' '267' '52']1
['1994' '1243' '139' '1727']1
['1214' '2299' '265' '767']1
['988' '1491' '129' '1337']1
['1784' '1619' '312' '1916']1
['1047' '1322' '250' '948']1
['1784' '1086' '188' '1058']1
['1308' '2225' '322' '538']1
['1988' '554' '168' '616']1
['1877' '2375' '147' '946']1
['1331' '1940' '268' '192']1
['287' '1613' '264' '1172']1
['653' '2133' '16' '834']1
['1310' '1616' '129' '1434']1
['1774' '2393' '147' '946']1
['322' '592' '265' '1281']1
['1613' '1630' '257' '156']1
['407' '2223' '79' '1009']1
['1720' '1882' '19' '1709']1
['1996' '489' '139' '130']1
['1784' '1311' '257' '1684']1
['1187' '2077' '321' '1709']1
['935' '1795' '147' '946']1
['287' '1990' '204' '1068']1
['1943' '2394' '271' '1781']1
['1424' '1214' '265' '1681']1
['1150' '2145' '147' '946']1
['1996' '489' '139' '130']1
['1784' '409' '29' '1810']1
['1784' '1311' '257' '1684']1
['1310' '1109' '502' '1854']1
['1365' '1015' '267' '834']1
['1877' '2375' '147' '946']1
['421' '1361' '290' '52']1
['407' '660' '322' '1447']1
['1784' '261' '273' '1229']1
['134' '26' '147' '1846']1
['1310' '1541' '319' '441']1
['1994' '1001' '988' '47']1
['287' '1861' '147' '636']1
['1341' '1409' '299' '192']1
['1784' '1599' '169' '1168']1
['1784' '2379' '11' '1702']1
['1784' '1619' '312' '1916']1
['407' '660' '322' '1447']1
['322' '1616' '320' '1702']1
['1310' '654' '271' '1233']1
['1736' '792' '265' '1144']1
['1090' '733' '142' '1702']1
['1150' '2145' '147' '946']1
['287' '745' '96' '893']1
['1784' '2379' '303' '335']1
['1784' '2379' '303' '335']1
['1819' '819' '129' '1477']1
['560' '2142' '16' '1702']1
['356' '284' '39' '157']1
['1187' '2077' '321' '1709']1
['287' '662' '265' '316']1
['1701' '2330' '314' '858']1
['1994' '1001' '988' '47']1
['336' '294' '268' '1846']1
['200' '114' '122' '1539']1
['1966' '1197' '122' '1862']1
['713' '375' '146' '948']1
['1053' '161' '1008' '946']1
['1292' '2163' '305' '1701']1
['344' '825' '129' '798']1
['1095' '219' '1626' '946']1
['287' '377' '139' '1364']1
['1784' '261' '273' '1229']1
['1142' '433' '922' '646']1
['983' '2318' '280' '1718']1
['1310' '1338' '862' '1068']1
['1725' '314' '314' '1652']1
['421' '1361' '290' '52']1
['1819' '2369' '265' '218']1
['379' '640' '191' '109']1
['1784' '1599' '169' '1168']1
['1310' '1561' '144' '1702']1
['407' '2176' '319' '1707']1
['935' '1795' '147' '946']1
['1047' '1781' '988' '97']1
['1310' '2' '122' '1833']1
['1774' '1462' '142' '649']1
['1988' '554' '168' '616']1
['1310' '1338' '862' '1068']1
['720' '1212' '265' '338']1
['287' '1783' '32' '250']1
['1574' '1916' '122' '446']1
['1090' '376' '271' '1864']1
['45' '1937' '375' '1862']1
['1205' '1212' '234' '1846']1
['1008' '1507' '106' '834']1
['1994' '1362' '406' '1702']1
['673' '856' '257' '809']1
['386' '767' '129' '809']1
['579' '584' '273' '405']1
['336' '294' '268' '1846']1
['287' '1783' '32' '250']1
['435' '496' '118' '167']1
['322' '592' '106' '1702']1
['1994' '1001' '988' '47']1
['1943' '1146' '147' '1846']1
['287' '2011' '122' '1422']1
['1764' '1669' '186' '1149']1
['1308' '2225' '322' '538']1
['1959' '1718' '1192' '1703']1
['1994' '1057' '323' '558']1
['1783' '1467' '234' '562']1
['1205' '1212' '234' '1846']1
['1764' '1669' '186' '1149']1
['1310' '702' '147' '1846']1
['1150' '161' '320' '1702']1
['1008' '1047' '129' '1846']1
['1994' '2086' '122' '776']1
['124' '234' '142' '1500']1
['907' '2131' '129' '446']1
['1784' '25' '39' '893']1
['344' '1677' '1056' '1068']1
['379' '640' '191' '109']1
['1069' '240' '139' '336']1
['1138' '2129' '268' '1864']1
['1943' '1073' '184' '148']1
['1784' '36' '265' '761']1
['716' '2145' '139' '1846']1
['1053' '161' '1008' '946']1
['1047' '1926' '122' '757']1
['1877' '2375' '147' '946']1
['322' '592' '106' '1702']1
['560' '2142' '16' '1702']1
['379' '1366' '265' '191']1
['1819' '2369' '265' '218']1
['1047' '2122' '139' '1178']1
['1240' '956' '16' '1718']1
['287' '445' '129' '757']1
['0' '1668' '406' '47']1
['293' '2393' '320' '52']1
['386' '219' '906' '1143']1
['1736' '792' '265' '1144']1
['344' '329' '375' '1707']1
['322' '592' '265' '1281']1
['1784' '488' '273' '250']1
['1023' '1503' '16' '948']1
['1823' '532' '129' '499']1
['1008' '1827' '257' '1626']1
['317' '493' '322' '1447']1
['1784' '2300' '141' '1149']1
['903' '558' '110' '1702']1
['1142' '433' '922' '646']1
['988' '1491' '129' '1337']1
['988' '1491' '129' '1337']1
['344' '1677' '1056' '1068']1
['983' '1315' '129' '1513']1
['1310' '268' '265' '647']1
['1310' '1100' '253' '1854']1
['407' '150' '141' '178']1
['1959' '338' '129' '353']1
['1006' '233' '39' '948']1
['1356' '1027' '502' '1758']1
['1424' '1214' '265' '1681']1
['1994' '921' '906' '1415']1
['1781' '1097' '278' '167']1
['1044' '1940' '142' '649']1
['1569' '1477' '257' '1539']1
['1786' '2180' '271' '192']1
['1979' '259' '15' '164']1
['1213' '1437' '139' '831']1
['386' '1860' '139' '831']1
['1801' '1269' '257' '1037']1
['983' '1315' '129' '1513']1
['1887' '645' '39' '1854']1
['55' '73' '265' '208']1
['386' '767' '129' '809']1
['287' '377' '139' '1364']1
['1819' '1864' '139' '1389']1
['1310' '1853' '137' '1518']1
['45' '1937' '375' '1862']1
['662' '882' '1396' '97']1
['718' '1362' '147' '1067']1
['498' '2393' '1795' '1876']1
['1701' '2330' '314' '858']1
['1162' '1359' '280' '858']1
['903' '558' '110' '1702']1
['1784' '1619' '322' '1126']1
['1994' '1295' '182' '52']1
['1939' '964' '502' '1177']1
['325' '1844' '39' '834']1
['287' '1588' '502' '213']1
['1784' '1311' '257' '1684']1
['1801' '1269' '257' '1037']1
['1860' '1705' '322' '1139']1
['722' '248' '16' '213']1
['287' '1942' '141' '1916']1
['1298' '1361' '79' '1157']1
['1491' '841' '12' '903']1
['0' '1668' '406' '47']1
['1846' '1612' '12' '202']1
['938' '2134' '322' '1715']1
['1783' '394' '252' '345']1
['1021' '910' '299' '538']1
['1887' '645' '39' '1854']1
['1783' '1467' '234' '562']1
['1774' '1462' '142' '649']1
['1994' '73' '129' '1242']1
['1992' '1043' '39' '162']1
['1819' '2131' '183' '1868']1
['463' '2175' '231' '172']1
['1959' '338' '129' '353']1
['1150' '161' '320' '1702']1
['720' '1212' '265' '338']1
['727' '176' '26' '834']1
['1594' '239' '80' '1718']1
['1093' '1784' '147' '1429']1
['407' '1749' '1008' '809']1
['881' '1212' '139' '1885']1
['1292' '2163' '305' '1701']1
['1801' '1770' '265' '1272']1
['1310' '1109' '502' '1854']1
['1777' '2224' '502' '1706']1
['1911' '1860' '265' '1817']1
['81' '36' '299' '831']1
['1047' '1522' '264' '1456']1
['988' '1491' '129' '1337']1
['386' '1502' '267' '52']1
['1823' '532' '129' '499']1
['716' '2145' '139' '1846']1
['334' '1699' '129' '946']1
['1784' '36' '265' '761']1
['1784' '1037' '100' '1702']1
['1784' '1810' '257' '730']1
['32' '145' '147' '946']1
['344' '1186' '305' '1916']1
['162' '1459' '507' '1207']1
['1996' '870' '322' '192']1
['907' '240' '299' '831']1
['1341' '1767' '139' '971']1
['1414' '2012' '6' '148']1
['1494' '1212' '139' '1306']1
['988' '1491' '129' '1337']1
['1784' '409' '29' '1810']1
['1943' '578' '129' '1200']1
['1095' '219' '1626' '946']1
['1584' '1948' '139' '1447']1
['1310' '1268' '139' '1447']1
['1292' '1831' '129' '515']1
['1047' '2122' '139' '1178']1
['1093' '1784' '147' '1429']1
['293' '2393' '320' '52']1
['107' '815' '257' '213']1
['1310' '1616' '129' '1434']1
['1730' '1064' '271' '1864']1
['1125' '2331' '21' '1916']1
['1093' '1212' '906' '1434']1
['1343' '17' '331' '1018']1
['1819' '2127' '322' '1051']1
['1784' '1804' '265' '1782']1
['1292' '1443' '81' '1668']1
['834' '1397' '375' '1706']1
['1994' '722' '39' '202']1
['1784' '1808' '106' '948']1
['435' '496' '118' '167']1
['1792' '336' '41' '1702']1
['1906' '1015' '134' '750']1
['1355' '2150' '129' '1846']1
['1008' '916' '129' '1051']1
['1021' '1735' '1618' '730']1
['415' '561' '299' '527']1
['881' '1212' '139' '1885']1
['1095' '583' '139' '332']1
['1021' '910' '299' '538']1
['379' '1069' '143' '834']1
['351' '73' '267' '139']1
['1801' '2324' '314' '109']1
['1008' '916' '129' '1051']1
['653' '2133' '16' '834']1
['1162' '1359' '280' '858']1
['861' '2168' '1' '843']1
['1203' '1882' '322' '1715']1
['1550' '1096' '189' '834']1
['1701' '2330' '314' '858']1
['1292' '289' '300' '893']1
['331' '1882' '257' '1629']1
['881' '2360' '139' '1171']1
['1466' '697' '106' '1702']1
['1943' '2394' '271' '1781']1
['1801' '969' '265' '1056']1
['1869' '1513' '128' '1434']1
['1310' '284' '1' '1056']1
['287' '397' '257' '969']1
['32' '145' '147' '946']1
['1994' '1839' '906' '205']1
['293' '2393' '320' '52']1
['986' '715' '265' '1106']1
['1352' '1260' '375' '327']1
['498' '161' '187' '1703']1
['344' '1335' '129' '1037']1
['1782' '2393' '322' '831']1
['287' '1308' '21' '834']1
['1994' '1091' '299' '1889']1
['1093' '1200' '139' '543']1
['1996' '489' '139' '130']1
['713' '375' '146' '948']1
['1574' '1916' '27' '1509']1
['1961' '1728' '147' '946']1
['1310' '654' '271' '1233']1
['124' '507' '139' '159']1
['1257' '1703' '104' '1168']1
['1292' '1366' '10' '873']1
['744' '1521' '604' '97']1
['722' '248' '16' '213']1
['351' '73' '267' '139']1
['369' '2326' '406' '97']1
['1400' '909' '265' '551']1
['722' '248' '16' '213']1
['1292' '145' '375' '174']1
['1310' '1397' '257' '1422']1
['1150' '161' '320' '1702']1
['287' '1613' '264' '1172']1
['1784' '1619' '16' '1160']1
['1163' '1566' '265' '1817']1
['1769' '2196' '134' '1397']1
['1783' '1467' '234' '562']1
['287' '745' '305' '97']1
['1584' '1948' '139' '1447']1
['617' '1874' '139' '159']1
['1959' '338' '129' '353']1
['1784' '2249' '147' '825']1
['287' '1861' '267' '139']1
['856' '1596' '265' '919']1
['1911' '1860' '265' '1817']1
['1293' '785' '134' '666']1
['1784' '1808' '106' '948']1
['357' '1858' '406' '1702']1
['1310' '1338' '1618' '1080']1
['881' '2145' '79' '1854']1
['1721' '175' '303' '1676']1
['1069' '240' '139' '336']1
['287' '1668' '139' '1662']1
['1341' '1767' '139' '971']1
['1784' '2311' '129' '1846']1
['1310' '2' '122' '1833']1
['1069' '240' '139' '336']1
['1237' '1607' '129' '1846']1
['834' '1397' '375' '1706']1
['834' '1397' '375' '1706']1
['1015' '1363' '271' '192']1
['351' '73' '267' '139']1
['1341' '1767' '139' '971']1
['1784' '676' '39' '1718']1
['32' '145' '147' '946']1
['287' '1588' '502' '213']1
['1214' '2299' '265' '767']1
['1678' '151' '299' '148']1
['1008' '1183' '268' '1846']1
['1929' '1534' '16' '1915']1
['407' '1869' '265' '1878']1
['1093' '1200' '139' '543']1
['1047' '1522' '264' '1456']1
['1784' '143' '129' '825']1
['1273' '2224' '122' '1594']1
['405' '2132' '265' '1517']1
['1021' '1735' '1618' '730']1
['32' '145' '147' '946']1
['219' '2393' '39' '1044']1
['407' '1749' '1008' '809']1
['946' '902' '96' '1702']1
['1047' '374' '502' '1866']1
['1784' '1238' '502' '1702']1
['1023' '1503' '16' '948']1
['1015' '1363' '271' '192']1
['1784' '2379' '139' '691']1
['369' '2023' '139' '1911']1
['1943' '578' '129' '1200']1
['1408' '73' '129' '809']1
['1784' '1803' '265' '328']1
['1310' '145' '265' '1026']1
['1784' '610' '70' '1189']1
['0' '1668' '406' '47']1
['617' '1874' '139' '159']1
['1241' '1372' '1151' '840']1
['1408' '73' '129' '809']1
['1781' '1097' '278' '167']1
['1784' '2097' '265' '926']1
['1414' '1752' '1609' '1562']1
['666' '882' '311' '538']1
['1079' '617' '299' '1864']1
['937' '1338' '129' '1449']1
['386' '1502' '267' '52']1
['1310' '2016' '188' '109']1
['1587' '1096' '502' '1916']1
['317' '1737' '129' '334']1
['470' '2396' '132' '192']1
['1095' '583' '139' '332']1
['1580' '1096' '192' '1359']1
['956' '1499' '299' '831']1
['1365' '1015' '267' '834']1
['1959' '1718' '1192' '1703']1
['1784' '1238' '502' '1702']1
['988' '1491' '39' '1916']1
['1819' '2131' '271' '120']1
['1021' '2356' '139' '1772']1
['983' '302' '129' '809']1
['1214' '2299' '265' '767']1
['344' '1931' '122' '1400']1
['1221' '2376' '139' '538']1
['937' '815' '158' '213']1
['1' '2335' '406' '97']1
['1466' '1174' '265' '1618']1
['403' '667' '39' '834']1
['1310' '1397' '257' '1422']1
['287' '662' '122' '1672']1
['336' '239' '129' '1890']1
['1996' '880' '139' '898']1
['287' '1757' '146' '948']1
['1943' '1146' '147' '1846']1
['1090' '376' '271' '1864']1
['1538' '228' '139' '1118']1
['407' '1869' '265' '1878']1
['442' '846' '6' '1701']1
['1310' '284' '1' '1056']1
['1784' '1412' '265' '1775']1
['1819' '2131' '183' '1868']1
['386' '767' '129' '809']1
['1090' '733' '322' '336']1
['287' '1757' '146' '948']1
['348' '575' '147' '946']1
['1784' '2249' '147' '825']1
['139' '141' '147' '1885']1
['1784' '1803' '265' '328']1
['1891' '1212' '249' '325']1
['322' '174' '303' '946']1
['1332' '2296' '39' '948']1
['1784' '1619' '406' '97']1
['504' '1882' '190' '409']1
['1433' '2173' '139' '1447']1
['1280' '287' '264' '1917']1
['1115' '1097' '134' '1902']1
['935' '1795' '147' '946']1
['1282' '1474' '190' '1168']1
['983' '1315' '129' '1513']1
['369' '2023' '139' '1911']1
['1310' '51' '139' '1434']1
['1257' '756' '139' '538']1
['745' '417' '126' '1916']1
['421' '1361' '257' '1542']1
['1797' '1795' '39' '1866']1
['1021' '765' '129' '1846']1
['346' '2131' '320' '1702']1
['722' '248' '16' '213']1
['1273' '2224' '122' '1594']1
['1292' '2163' '305' '1701']1
['1096' '1892' '155' '1702']1
['1764' '1669' '186' '1149']1
['419' '1096' '2' '109']1
['1594' '239' '80' '1718']1
['986' '715' '265' '1106']1
['1047' '773' '1491' '1701']1
['1994' '1001' '988' '47']1
['744' '1521' '137' '335']1
['972' '2107' '147' '946']1
['1959' '338' '129' '353']1
['1819' '2112' '21' '97']1
['344' '329' '375' '1707']1
['937' '815' '158' '213']1
['287' '559' '45' '948']1
['1784' '1455' '106' '1866']1
['1784' '2298' '170' '40']1
['1803' '202' '265' '4']1
['1452' '1599' '16' '1718']1
['1819' '334' '265' '579']1
['1018' '350' '97' '1760']1
['124' '507' '139' '159']1
['1784' '403' '39' '1868']1
['682' '1212' '39' '1702']1
['1414' '681' '39' '52']1
['344' '1256' '375' '97']1
['659' '1503' '77' '1212']1
['1558' '2003' '39' '1702']1
['1095' '219' '1626' '946']1
['1292' '1430' '268' '52']1
['580' '1633' '1614' '834']1
['1929' '2355' '147' '809']1
['287' '445' '129' '757']1
['1819' '2393' '139' '1732']1
['1090' '376' '271' '1864']1
['1008' '565' '271' '1464']1
['1047' '2335' '406' '97']1
['1310' '284' '1' '1056']1
['405' '2132' '265' '1517']1
['1737' '563' '1176' '111']1
['1792' '336' '41' '1702']1
['336' '286' '265' '1056']1
['1819' '2369' '265' '218']1
['374' '2140' '1739' '781']1
['1414' '1752' '1609' '1562']1
['1784' '25' '39' '893']1
['1021' '1051' '271' '253']1
['1310' '121' '139' '358']1
['407' '1035' '240' '1718']1
['1008' '1047' '257' '1876']1
['1466' '2061' '65' '1854']1
['1310' '1081' '16' '1718']1
['1047' '773' '1491' '1701']1
['1784' '676' '39' '1718']1
['287' '745' '305' '97']1
['386' '1212' '299' '192']1
['407' '2176' '319' '1707']1
['1095' '1526' '141' '52']1
['100' '36' '265' '1414']1
['1466' '1624' '267' '52']1
['109' '560' '267' '1702']1
['1150' '1503' '129' '925']1
['1782' '2393' '322' '831']1
['1801' '1338' '283' '946']1
['386' '219' '906' '1143']1
['745' '417' '126' '1916']1
['1784' '31' '265' '1100']1
['1784' '1412' '265' '1775']1
['1079' '617' '299' '1864']1
['1252' '1501' '322' '1289']1
['1784' '1344' '1610' '804']1
['421' '1361' '290' '52']1
['315' '833' '142' '1702']1
['1953' '644' '271' '1051']1
['1257' '2167' '303' '583']1
['407' '1831' '265' '554']1
['981' '1212' '406' '97']1
['1994' '2086' '122' '776']1
['1093' '181' '604' '1702']1
['46' '37' '265' '796']1
['1483' '1128' '280' '97']1
['579' '584' '273' '405']1
['1090' '376' '271' '1864']1
['344' '329' '375' '1707']1
['1310' '1291' '147' '1846']1
['1047' '1783' '322' '1085']1
['1996' '880' '139' '898']1
['203' '2208' '79' '1854']1
['1819' '161' '139' '1447']1
['1365' '1015' '267' '834']1
['336' '239' '322' '335']1
['580' '1810' '375' '1212']1
['1784' '513' '39' '893']1
['1994' '921' '906' '1415']1
['1632' '1476' '1618' '999']1
['1550' '1096' '189' '834']1
